travel_mode,TrvlTime_number,Age,indiv_trvl_frequency,HHVeh,HHsize
0,900.0,46,15,1,4
0,600.0,71,12,0,2
0,419.0,23,13,0,3
1,300.0,50,26,2,5
0,215.0,56,42,2,3
1,671.736,33,62,2,4
0,1124.0,30,3,0,1
1,420.0,67,30,2,2
1,522.0,39,16,2,5
1,1800.0,47,8,1,3
1,320.0,37,74,2,7
1,4364.0,47,33,3,5
1,180.0,40,24,2,4
1,322.776,50,40,2,2
1,1764.0,30,21,3,5
0,165.0,25,22,2,2
1,3300.0,34,13,1,3
0,311.0,41,17,0,3
1,111.019,35,9,1,2
1,860.0,31,7,1,4
1,706.0,80,28,2,2
1,720.0,43,42,2,5
1,950.0,43,36,3,4
1,448.0,29,86,2,4
1,926.106,55,20,2,4
1,880.74,38,28,2,4
1,1521.0,26,18,2,2
1,488.0,40,24,2,4
1,1364.0,26,26,2,4
1,265.0,47,44,2,3
1,571.096,46,75,3,3
0,162.0,24,8,0,4
1,4519.0,59,60,4,4
1,614.0,79,36,2,2
0,400.0,23,10,0,1
1,225.558,56,42,3,4
1,1244.0,23,8,1,3
0,191.0,35,13,1,4
1,1797.287,53,30,2,2
0,1269.0,21,10,0,1
1,750.0,67,165,5,3
1,1250.0,49,36,2,3
0,116.0,28,12,0,4
1,660.0,38,24,2,7
1,160.0,51,36,4,5
1,900.0,33,13,1,5
1,626.0,38,70,2,9
1,1250.0,39,19,1,4
1,350.0,49,12,1,3
0,141.0,68,21,1,2
1,333.642,73,42,2,2
1,6980.0,43,34,2,5
1,285.0,52,14,1,2
1,968.47,50,39,3,6
1,250.0,60,56,2,2
1,1792.0,28,28,2,3
0,3960.0,76,10,0,1
1,1802.0,43,30,2,5
1,1326.121,72,30,2,2
0,240.0,51,12,0,1
0,204.0,43,54,2,5
1,1342.0,40,60,2,6
1,797.0,30,12,1,2
1,120.0,37,17,1,1
1,2160.0,50,30,3,5
1,540.0,39,66,2,5
1,932.0,38,18,2,7
1,917.0,62,10,2,2
0,421.0,23,17,0,4
1,696.942,41,32,2,5
1,560.0,70,13,1,1
0,421.0,22,20,1,1
1,942.0,52,75,5,5
1,700.0,54,44,2,2
1,86.56302,48,48,2,1
1,1193.341,62,29,1,1
0,500.0,67,38,2,2
1,1020.891,62,60,1,2
1,250.039,17,18,1,3
1,1380.0,22,29,1,1
1,368.942,62,16,2,2
1,180.0,45,17,1,3
0,360.0,70,14,2,4
1,620.977,61,14,1,1
1,240.0,67,32,2,4
0,529.0,22,3,0,2
1,483.0,40,34,2,5
0,350.0,68,22,1,2
1,393.381,43,68,2,5
1,160.0,63,40,2,3
1,751.0,61,24,3,2
1,330.0,40,60,2,6
1,3840.0,26,19,1,4
1,733.812,57,22,2,2
0,61.00002,45,26,2,6
1,79.00002,74,30,2,3
1,720.0,36,58,2,8
1,901.0,71,12,1,2
1,193.0,30,30,2,7
1,704.005,71,22,1,2
1,317.0,33,40,2,5
1,1332.0,29,18,2,4
1,1280.0,70,29,1,2
1,433.0,38,14,1,4
1,350.0,47,24,1,1
1,360.0,56,105,3,3
1,600.0,24,10,1,5
0,1152.281,68,9,1,2
1,1080.0,30,24,2,4
0,1917.0,16,10,1,4
1,1224.0,39,44,2,4
1,791.0,45,10,2,5
0,1100.0,81,7,0,1
0,544.843,33,13,1,5
1,962.392,42,45,3,5
1,1620.0,22,24,4,4
1,835.0,34,8,1,1
0,1093.0,45,17,1,1
1,300.0,38,20,1,5
1,1268.0,40,30,2,5
1,240.0,28,23,1,5
1,1300.0,60,8,1,1
1,432.907,49,29,1,4
1,902.513,33,20,2,2
1,403.0,28,17,1,4
1,419.0,42,78,3,5
0,660.0,17,20,2,5
1,239.0,36,10,1,5
0,483.725,16,28,2,5
1,1400.0,66,21,3,3
0,163.0,19,14,1,3
1,1058.0,32,36,2,5
0,1980.0,58,6,0,2
0,722.0,25,10,0,2
1,100.184,33,14,1,2
1,1448.223,57,12,1,2
0,575.0,30,11,0,1
1,1150.0,70,24,1,3
0,720.0,33,8,0,9
1,457.302,47,32,2,5
1,469.0,21,15,3,4
0,748.0,41,10,1,4
1,4859.519,54,22,2,4
1,308.0,33,12,1,5
0,600.0,67,4,1,2
1,340.104,27,23,1,4
1,2183.306,52,28,2,3
1,285.54,55,20,2,2
0,300.0,50,17,1,6
1,1860.0,42,14,2,3
1,340.819,39,38,2,4
1,1863.0,43,32,2,4
1,300.0,79,12,1,1
1,286.0,64,44,4,3
1,2671.0,60,20,2,2
0,1740.0,69,8,1,4
0,454.0,32,43,0,2
0,460.0,41,11,1,3
1,785.102,23,15,1,1
1,3485.782,41,18,2,3
1,1197.0,59,48,2,3
1,118.0,48,12,1,3
1,300.0,22,44,4,6
1,1303.0,22,22,1,3
1,386.998,44,8,2,3
1,1550.0,23,24,4,5
0,898.0,40,14,1,5
1,946.077,51,18,3,5
1,1800.0,57,12,2,3
1,834.0,62,20,2,2
1,375.967,63,13,1,1
1,650.0,34,80,4,7
1,2080.0,75,13,1,2
0,276.0,39,30,2,4
1,1475.066,53,29,1,1
1,3451.0,39,26,2,3
1,900.0,22,44,4,6
1,1620.0,22,24,3,6
1,120.0,31,32,2,4
0,927.0,34,22,2,4
1,262.593,42,56,2,4
1,1680.0,25,14,2,3
0,732.775,47,32,2,5
1,709.0,40,28,2,5
0,480.0,38,20,0,9
1,500.0,42,12,1,3
1,1200.223,62,16,1,1
1,900.0,30,10,1,2
1,539.0,29,3,1,4
0,2471.981,38,42,2,5
1,480.0,60,16,2,2
1,540.0,49,40,2,5
1,468.441,53,22,2,2
1,676.0,34,15,1,6
1,1557.0,43,57,3,8
0,215.0,34,19,1,4
1,540.0,53,34,2,3
1,360.0,47,34,2,3
1,960.0,36,28,2,5
1,1800.0,59,12,2,2
0,100.0,43,10,1,6
1,1438.0,25,6,2,4
1,230.0,32,50,2,3
1,1140.0,36,32,2,5
1,660.0,37,74,2,7
0,950.0,43,17,0,9
0,587.0,27,26,1,7
1,78.96498,49,40,2,5
1,1480.0,40,50,2,5
0,334.269,54,14,0,1
0,211.0,33,22,2,4
0,942.0,20,11,0,1
1,3375.0,25,11,1,1
1,232.0,40,32,2,7
1,2675.0,58,9,1,4
0,508.221,57,18,2,4
0,420.0,35,14,1,7
1,2817.488,45,12,1,5
1,180.0,43,26,2,4
1,2580.0,56,12,2,4
1,173.0,33,10,1,4
1,2380.0,32,18,1,5
1,300.0,52,34,2,2
0,3352.0,49,24,2,4
1,143.0,41,42,2,4
1,850.0,31,9,1,1
1,335.789,42,13,1,3
0,406.0,16,20,2,6
1,1374.337,63,51,3,3
0,300.0,65,12,1,1
0,395.0,28,19,1,1
1,335.0,43,10,2,5
1,740.0,39,29,1,5
1,1560.0,49,27,3,4
1,2310.0,63,30,2,2
1,180.0,43,16,2,6
1,903.0,80,8,1,1
1,320.0,67,35,1,1
1,1160.0,22,12,2,3
1,275.0,42,14,2,5
0,179.0,35,28,1,2
1,1140.0,45,18,2,8
1,2354.0,42,20,2,4
1,381.975,66,80,4,4
1,1600.0,42,20,2,2
1,544.0,53,36,4,4
0,40.00002,38,42,2,4
1,819.232,59,36,3,3
1,609.0,36,36,2,6
1,293.123,38,120,3,8
1,540.0,71,15,1,2
0,300.0,40,11,1,6
1,946.758,39,38,2,5
1,1329.0,26,112,4,4
1,1140.0,43,9,1,3
0,1907.0,60,14,2,2
0,700.0,57,28,2,2
0,81.0,25,12,1,2
1,1050.0,41,14,1,5
1,749.0,30,11,1,2
1,846.0,49,51,3,4
1,634.0,38,20,2,1
1,364.0,22,10,2,5
1,1618.0,27,15,3,2
1,367.033,47,32,2,5
0,288.451,16,30,2,5
0,240.0,39,13,1,4
0,2397.0,70,42,3,6
1,527.749,38,66,2,5
1,240.0,42,20,2,5
1,3360.0,58,8,1,2
1,1000.0,21,22,2,4
0,1049.0,44,27,1,7
1,660.0,27,18,2,4
1,776.0,57,30,2,3
0,897.0,51,4,1,5
1,2534.596,47,23,1,5
1,3041.035,28,33,3,4
1,239.0,72,32,1,2
1,984.0,31,14,1,4
0,853.0,16,10,1,4
1,300.0,62,48,3,3
1,1714.0,39,36,2,5
1,1840.0,42,13,1,6
0,660.0,26,29,0,5
0,314.0,17,10,2,5
0,79.00002,30,32,2,3
1,540.0,49,48,3,7
1,460.0,60,44,4,5
1,186.941,41,42,2,4
1,673.0,35,40,2,4
1,3300.263,24,36,3,6
1,658.0,42,20,2,4
0,783.0,36,9,1,3
1,1637.0,51,20,2,4
1,549.0,35,13,1,5
1,760.0,43,38,2,5
0,619.0,25,10,2,3
1,2422.324,46,42,2,5
1,599.804,60,50,2,4
1,150.0,52,33,3,2
1,1028.0,70,33,3,2
1,2266.0,51,24,2,4
1,1210.0,48,18,2,5
1,540.0,49,36,2,4
1,225.0,63,60,2,2
1,439.0,48,23,1,2
0,591.0,52,38,2,3
1,900.0,40,26,2,4
1,168.0,73,42,3,3
1,698.0,57,10,1,6
1,960.0,40,11,1,2
1,200.0,81,6,1,2
0,917.374,24,17,0,3
1,1140.0,47,8,1,4
0,1680.0,69,6,0,2
1,1275.212,29,48,4,5
1,3051.0,47,94,2,4
1,460.0,31,22,1,4
0,308.0,66,16,0,1
1,645.0,34,24,1,4
1,3174.0,27,60,3,6
1,728.518,50,52,4,5
1,191.0,32,26,2,4
1,861.994,23,18,2,2
1,27.68802,51,34,2,4
1,1580.541,63,9,1,2
0,700.0,38,23,1,4
1,866.0,18,60,3,5
0,300.0,42,32,4,5
1,1476.0,40,8,2,3
1,2094.0,45,82,2,1
1,420.0,34,26,1,6
0,360.0,59,4,1,2
0,439.0,57,45,3,3
0,658.0,37,36,2,5
1,1550.0,44,22,2,4
1,312.0,64,16,2,2
1,1444.0,40,20,2,6
1,245.728,42,23,1,1
0,780.0,31,26,2,3
1,259.7,37,22,2,5
1,600.0,48,12,2,4
0,300.0,44,24,1,4
0,393.0,28,10,1,5
0,750.0,21,13,0,2
1,1346.155,32,14,2,2
1,1498.0,59,24,3,4
1,733.0,62,15,1,2
0,180.0,46,3,0,2
1,660.495,65,24,2,3
1,1743.0,41,14,2,4
1,980.0,43,57,3,8
1,2950.0,29,22,2,2
1,421.0,45,52,2,5
1,218.0,67,6,1,2
1,864.0,31,11,1,5
1,2700.0,25,14,2,4
1,900.0,66,17,1,2
0,739.0,22,6,1,7
1,239.0,66,24,3,3
1,2457.0,60,12,1,2
1,2779.113,68,4,1,3
1,1032.5,44,12,1,3
0,82.00002,17,18,1,2
0,305.925,16,30,2,5
1,211.0,64,24,2,2
1,4141.03,52,30,2,4
1,91.00002,33,30,2,5
1,1200.0,62,51,3,3
0,600.0,40,23,1,4
1,900.0,42,46,2,6
0,900.0,55,22,2,4
0,1620.0,38,26,2,4
1,1050.0,60,8,1,3
1,639.024,45,28,2,5
1,1044.0,45,26,2,6
1,1200.0,27,40,5,7
1,361.0,41,13,1,6
1,673.0,76,8,2,2
1,1020.0,40,34,2,4
1,360.0,41,26,2,5
1,392.0,78,6,1,2
1,286.0,63,20,2,2
1,300.0,38,30,2,5
0,565.0,32,8,0,10
1,203.001,23,15,1,1
0,1312.0,34,24,2,3
1,298.192,38,28,2,5
1,302.0,31,8,2,2
1,780.0,74,14,1,2
1,2588.0,22,8,1,3
1,790.242,32,45,3,4
1,1860.0,56,27,3,4
1,1940.043,64,11,1,2
1,1260.0,31,20,1,5
1,184.0,48,93,3,5
1,2574.0,28,10,1,1
0,180.0,29,11,0,6
0,300.0,80,14,1,2
1,1357.0,20,30,2,4
1,1633.542,51,19,1,4
1,511.0,60,32,2,2
1,113.0,69,14,2,2
1,360.0,46,30,2,4
0,159.0,77,5,0,1
1,3699.0,61,44,2,2
0,173.0,45,28,2,5
1,143.0,34,32,2,3
1,1339.076,34,10,1,2
1,210.0,69,28,2,2
1,1712.0,64,24,2,2
1,562.0,63,20,2,2
1,960.0,71,8,1,2
1,2740.0,45,6,1,3
1,240.0,45,36,2,4
0,60.0,50,20,2,4
1,660.0,37,18,1,6
1,1380.0,53,33,3,4
1,368.119,37,24,2,4
1,1960.0,40,26,1,1
0,249.0,42,52,2,6
1,603.0,40,20,2,6
1,492.0,28,34,1,5
1,1200.0,51,152,4,5
1,2090.0,32,28,2,5
1,310.25,50,40,4,5
1,965.0,46,22,1,3
1,1466.0,29,17,1,6
1,1209.0,55,16,1,2
1,1750.0,39,16,2,1
1,225.0,60,15,1,2
1,1932.0,62,16,2,2
1,268.348,36,42,2,7
0,124.0,33,34,2,3
0,850.0,40,8,1,8
1,1740.0,52,33,3,3
1,545.705,44,34,2,6
1,420.0,33,24,2,4
1,269.0,58,52,4,2
1,750.0,27,40,2,5
1,163.0,34,62,2,3
1,1020.0,62,45,3,6
1,1500.0,40,30,3,4
1,693.0,34,26,2,4
1,850.0,46,18,2,3
0,60.87,27,40,2,4
1,1024.0,28,14,2,3
1,540.0,59,7,1,2
